,symbol,profile
ceo,MMM,Inge G. Thulin
companyName,MMM,3M Company
description,MMM,"3M Co is a diversified technology company. It manufactures a diverse array of industrial and consumer products. Its business segments are Industrial, Safety and Graphics, Health Care, Electronics and Energy, and Consumer."
exchange,MMM,New York Stock Exchange
industry,MMM,Industrial Products
sector,MMM,Industrials
website,MMM,http://www.3m.com
ceo,ABT,Miles D. White
companyName,ABT,Abbott Laboratories
description,ABT,"Abbott Laboratories is a health care company that manufactures medical devices, blood glucose monitoring kits, nutritional healthcare products, diagnostic products and equipment, and branded generic drugs."
exchange,ABT,New York Stock Exchange
industry,ABT,Drug Manufacturers
sector,ABT,Healthcare
website,ABT,http://www.abbott.com
ceo,ABBV,Richard A. Gonzalez
companyName,ABBV,AbbVie Inc.
description,ABBV,"AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders."
exchange,ABBV,New York Stock Exchange
industry,ABBV,Drug Manufacturers
sector,ABBV,Healthcare
website,ABBV,http://www.abbvie.com
ceo,ABMD,Michael R. Minogue
companyName,ABMD,ABIOMED Inc.
description,ABMD,Abiomed Inc is a medical device company. It provides mechanical circulatory support devices to aid heart recovery to heart failure patients.
exchange,ABMD,Nasdaq Global Select
industry,ABMD,Medical Devices
sector,ABMD,Healthcare
website,ABMD,http://www.abiomed.com
ceo,ACN,Pierre Nanterme
companyName,ACN,Accenture plc Class A (Ireland)
description,ACN,"Accenture PLC is a professional service company. It provides consulting, technology and outsourcing services to Communications, Media and Technology, Financial services, Health and Public service, Products and Resources segments."
exchange,ACN,New York Stock Exchange
industry,ACN,Application Software
sector,ACN,Technology
website,ACN,http://www.accenture.com
ceo,ATVI,Robert A. Kotick
companyName,ATVI,Activision Blizzard Inc
description,ATVI,"Activision Blizzard is a developer and publisher of interactive entertainment content and services. It develops and distributes content and services on video game consoles, personal computers, and mobile devices."
exchange,ATVI,Nasdaq Global Select
industry,ATVI,Application Software
sector,ATVI,Technology
website,ATVI,http://www.activisionblizzard.com
ceo,ADBE,Shantanu Narayen
companyName,ADBE,Adobe Systems Incorporated
description,ADBE,"Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager."
exchange,ADBE,Nasdaq Global Select
industry,ADBE,Application Software
sector,ADBE,Technology
website,ADBE,http://www.adobe.com
ceo,AMD,Lisa T. Su
companyName,AMD,Advanced Micro Devices Inc.
description,AMD,"Advanced Micro Devices Inc designs and produces microprocessors and low-power processor solutions for the computer, communications, and consumer electronics industries."
exchange,AMD,NASDAQ Capital Market
industry,AMD,Semiconductors
sector,AMD,Technology
website,AMD,http://www.amd.com
ceo,AAP,Thomas R. Greco
companyName,AAP,Advance Auto Parts Inc W/I
description,AAP,"Advance Auto Parts Inc is an automotive aftermarket parts provider serving professional installers, DIY (do-it-yourself) customer and independently-owned operators."
exchange,AAP,New York Stock Exchange
industry,AAP,Retail - Apparel & Specialty
sector,AAP,Consumer Cyclical
website,AAP,https://shop.advanceautoparts.com
ceo,AES,Andres R. Gluski
companyName,AES,The AES Corporation
description,AES,"The AES Corp is a power generation and utility company. It is engaged in providing affordable, sustainable energy through its diverse portfolio of thermal and renewable generation facilities as well as distribution businesses."
exchange,AES,New York Stock Exchange
industry,AES,Utilities - Regulated
sector,AES,Utilities
website,AES,http://www.aes.com
ceo,AMG,Sean M. Healey
companyName,AMG,Affiliated Managers Group Inc.
description,AMG,"Affiliated Managers Group Inc is an asset management company. It has equity investments in boutique investment management firms. It provides centralized assistance in strategic matters, marketing, distribution, product development and operations."
exchange,AMG,New York Stock Exchange
industry,AMG,Asset Management
sector,AMG,Financial Services
website,AMG,http://www.amg.com
ceo,AFL,Daniel P. Amos
companyName,AFL,AFLAC Incorporated
description,AFL,Aflac Inc is a general business holding company and acts as a management company. It offers supplemental health and life insurance in the U.S. and Japan.
exchange,AFL,New York Stock Exchange
industry,AFL,Insurance - Life
sector,AFL,Financial Services
website,AFL,http://www.aflac.com
ceo,A,Michael R. McMullen
companyName,A,Agilent Technologies Inc.
description,A,"Agilent Technologies Inc is engaged in life sciences, diagnostics and applied chemical markets. The company provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow."
exchange,A,New York Stock Exchange
industry,A,Medical Diagnostics & Research
sector,A,Healthcare
website,A,http://www.agilent.com
ceo,APD,Seifollah Ghasemi
companyName,APD,Air Products and Chemicals Inc.
description,APD,"Air Products & Chemicals Inc is a supplier of hydrogen and helium. It also provides semiconductor materials, refinery hydrogen, natural gas liquefaction and coatings and adhesives."
exchange,APD,New York Stock Exchange
industry,APD,Chemicals
sector,APD,Basic Materials
website,APD,http://www.airproducts.com
ceo,AKAM,F. Thomson Leighton
companyName,AKAM,Akamai Technologies Inc.
description,AKAM,"Akamai Technologies Inc is a United States based company which provides cloud services for delivering, optimizing and securing online content and business applications over the Internet."
exchange,AKAM,Nasdaq Global Select
industry,AKAM,Application Software
sector,AKAM,Technology
website,AKAM,http://www.akamai.com
ceo,ALK,Bradley D. Tilden
companyName,ALK,Alaska Air Group Inc.
description,ALK,"Alaska Air Group Inc operates Alaska, Virgin America and Horizon Air airlines. The company through its subsidiaries provides passenger air, freight and mail services within the state of Alaska and on the West Coast."
exchange,ALK,New York Stock Exchange
industry,ALK,Airlines
sector,ALK,Industrials
website,ALK,http://www.alaskaair.com
ceo,ALB,Luther C. Kissam
companyName,ALB,Albemarle Corporation
description,ALB,"Albemarle Corp is a developer, manufacturer and marketer of engineered specialty chemicals. It provides services to end markets including petroleum refining, consumer electronics, construction, automotive, lubricants and pharmaceuticals."
exchange,ALB,New York Stock Exchange
industry,ALB,Chemicals
sector,ALB,Basic Materials
website,ALB,http://www.albemarle.com
ceo,ARE,Joel S. Marcus
companyName,ARE,Alexandria Real Estate Equities Inc.
description,ARE,"Alexandria Real Estate Equities Inc is an urban office REIT engaged in life science and technology campuses through ownership, operation, management and selective redevelopment and development of properties in office/laboratory space."
exchange,ARE,New York Stock Exchange
industry,ARE,REITs
sector,ARE,Real Estate
website,ARE,http://www.are.com
ceo,ALXN,Ludwig N. Hantson
companyName,ALXN,Alexion Pharmaceuticals Inc.
description,ALXN,Alexion Pharmaceuticals Inc is a biopharmaceutical company. It is engaged in serving patients with severe and ultra-rare disorders through the development and commercialization of life-transforming therapeutic products.
exchange,ALXN,Nasdaq Global Select
industry,ALXN,Biotechnology
sector,ALXN,Healthcare
website,ALXN,http://www.alexionpharm.com
ceo,ALGN,Joseph M. Hogan
companyName,ALGN,Align Technology Inc.
description,ALGN,"Align Technology Inc designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and CAD/CAM digital services used in dentistry, orthodontics, and dental records storage. Its segments are Clear Aligner and Scanners & Services."
exchange,ALGN,Nasdaq Global Select
industry,ALGN,Medical Devices
sector,ALGN,Healthcare
website,ALGN,http://www.aligntech.com
ceo,ALLE,David D. Petratis
companyName,ALLE,Allegion plc
description,ALLE,"Allegion PLC provides security products and solutions that keep people safe, secure and productive. Its products include door closers, exit devices, frames, biometrics, special surfaces, video surveillance, wireless connectivity, and cloud technology."
exchange,ALLE,New York Stock Exchange
industry,ALLE,Consulting & Outsourcing
sector,ALLE,Industrials
website,ALLE,http://www.allegion.com
ceo,AGN,Brenton L. Saunders
companyName,AGN,Allergan plc
description,AGN,"Allergan PLC is a specialty pharmaceutical company engaged in the development, manufacturing, marketing, and distribution of brand name pharmaceutical products, medical aesthetics, biosimilar and OTC pharmaceutical products."
exchange,AGN,New York Stock Exchange
industry,AGN,Drug Manufacturers
sector,AGN,Healthcare
website,AGN,http://www.allergan.com
ceo,ADS,Edward J. Heffernan
