,symbol,profile
ceo,SPY,
companyName,SPY,SPDR S&P 500
description,SPY,"The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the S&P 500® Index.
 The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the ¿Portfolio¿), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index."
exchange,SPY,NYSE Arca
industry,SPY,
sector,SPY,
website,SPY,http://www.spdrs.com
ceo,CMCSA,Brian L. Roberts
companyName,CMCSA,Comcast Corporation Class A Common Stock
description,CMCSA,"Comcast Corp is a media and technology company. It mainly involves in the cable industry and owns Comcast Cable, E!, NBCUniversal, and the NBC broadcast network."
exchange,CMCSA,Nasdaq Global Select
industry,CMCSA,Entertainment
sector,CMCSA,Consumer Cyclical
website,CMCSA,https://corporate.comcast.com
ceo,KMI,Steven J. Kean
companyName,KMI,Kinder Morgan Inc.
description,KMI,"Kinder Morgan Inc is an energy infrastructure company. The Company transports natural gas, refined petroleum products, crude oil, condensate, CO2 and other products."
exchange,KMI,New York Stock Exchange
industry,KMI,Oil & Gas - Midstream
sector,KMI,Energy
website,KMI,http://www.kindermorgan.com
ceo,INTC,Brian M. Krzanich
companyName,INTC,Intel Corporation
description,INTC,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications."
exchange,INTC,Nasdaq Global Select
industry,INTC,Semiconductors
sector,INTC,Technology
website,INTC,http://www.intel.com
ceo,MU,
companyName,MU,Micron Technology Inc.
description,MU,"Micron Technology Inc along with its subsidiaries provide memory and storage solutions. Its product portfolio consists of memory and storage technologies such as DRAM, NAND, NOR and 3D XPoint memory."
exchange,MU,Nasdaq Global Select
industry,MU,Semiconductors
sector,MU,Technology
website,MU,http://www.micron.com
ceo,GDX,
companyName,GDX,VanEck Vectors Gold Miners
description,GDX,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the NYSE Arca Gold Miners Index.
 The fund normally invests at least 80% of its total assets in common stocks and depositary receipts of companies involved in the gold mining industry. The index is a modified market-capitalization weighted index primarily comprised of publicly traded companies involved in the mining for gold and silver. The fund is non-diversified."
exchange,GDX,NYSE Arca
industry,GDX,
sector,GDX,
website,GDX,http://www.marketvectorsetfs.com
ceo,GE,John L. Flannery
companyName,GE,General Electric Company
description,GE,"General Electric Co is a digital industrial company. It operates in various segments, including power and water, oil and gas, energy management, aviation, healthcare, transportation, appliances and lighting, and more."
exchange,GE,New York Stock Exchange
industry,GE,Industrial Products
sector,GE,Industrials
website,GE,http://www.ge.com
ceo,BAC,Brian T. Moynihan
companyName,BAC,Bank of America Corporation
description,BAC,"Bank of America Corporation is a bank holding and a financial holding company. The company provides financial products and services to people, companies and institutional investors."
exchange,BAC,New York Stock Exchange
industry,BAC,Banks
sector,BAC,Financial Services
website,BAC,http://www.bankofamerica.com
ceo,EEM,
companyName,EEM,iShares MSCI Emerging Index Fund
description,EEM,"The investment seeks to track the investment results of the MSCI Emerging Markets Index.
 The fund generally invests at least 90% of its assets in the securities of its underlying index and in depositary receipts representing securities in its underlying index. The index is designed to measure equity market performance in the global emerging markets. It may invest the remainder of its assets in other securities, including securities not in the underlying index, but which BFA believes will help the fund track the index, and in other investments, including futures contracts, options on futures contracts, other types of options and swaps related to its index."
exchange,EEM,NYSE Arca
industry,EEM,
sector,EEM,
website,EEM,http://www.ishares.com
ceo,XLF,
companyName,XLF,SPDR Select Sector Fund - Financial
